83246,42.60616,-112.03051,Lava Hot Springs,ID,Idaho,TRUE,,1106,3.1,16005,Bannock,"{""16005"": 100}",Bannock,16005,FALSE,FALSE,America/Boise
83250,42.67228,-112.20865,Mccammon,ID,Idaho,TRUE,,2095,9.5,16005,Bannock,"{""16005"": 100}",Bannock,16005,FALSE,FALSE,America/Boise
83251,43.90738,-113.86425,Mackay,ID,Idaho,TRUE,,1286,0.4,16037,Custer,"{""16037"": 100}",Custer,16037,FALSE,FALSE,America/Boise
83252,42.18979,-112.38411,Malad City,ID,Idaho,TRUE,,4546,2.4,16071,Oneida,"{""16071"": 100}",Oneida,16071,FALSE,FALSE,America/Boise
83253,44.54647,-113.77167,May,ID,Idaho,TRUE,,84,0.1,16059,Lemhi,"{""16059"": 71.95, ""16037"": 28.05}",Lemhi|Custer,16059|16037,FALSE,FALSE,America/Boise
83254,42.36403,-111.2655,Montpelier,ID,Idaho,TRUE,,3527,2.4,16007,Bear Lake,"{""16007"": 82.59, ""16029"": 17.41}",Bear Lake|Caribou,16007|16029,FALSE,FALSE,America/Boise
83255,43.72829,-113.45702,Moore,ID,Idaho,TRUE,,1113,2.1,16023,Butte,"{""16023"": 89.68, ""16037"": 10.32}",Butte|Custer,16023|16037,FALSE,FALSE,America/Boise
83261,42.22112,-111.40661,Paris,ID,Idaho,TRUE,,747,12.2,16007,Bear Lake,"{""16007"": 100}",Bear Lake,16007,FALSE,FALSE,America/Boise
83262,43.18419,-112.7658,Pingree,ID,Idaho,TRUE,,1031,1.9,16011,Bingham,"{""16011"": 100}",Bingham,16011,FALSE,FALSE,America/Boise
83263,42.17757,-111.76101,Preston,ID,Idaho,TRUE,,9813,9.2,16041,Franklin,"{""16041"": 100}",Franklin,16041,FALSE,FALSE,America/Boise
83271,42.4574,-112.84551,Rockland,ID,Idaho,TRUE,,334,0.5,16077,Power,"{""16077"": 100}",Power,16077,FALSE,FALSE,America/Boise
83272,42.09156,-111.36835,Saint Charles,ID,Idaho,TRUE,,212,0.6,16007,Bear Lake,"{""16007"": 100}",Bear Lake,16007,FALSE,FALSE,America/Boise
83274,43.35049,-112.09904,Shelley,ID,Idaho,TRUE,,10593,41.5,16011,Bingham,"{""16011"": 99.54, ""16019"": 0.46}",Bingham|Bonneville,16011|16019,FALSE,FALSE,America/Boise
83276,42.75942,-111.44451,Soda Springs,ID,Idaho,TRUE,,3887,2.2,16029,Caribou,"{""16029"": 95.67, ""16007"": 4.33}",Caribou|Bear Lake,16029|16007,FALSE,FALSE,America/Boise
83277,43.07429,-112.68127,Springfield,ID,Idaho,TRUE,,168,7.8,16011,Bingham,"{""16011"": 100}",Bingham,16011,FALSE,FALSE,America/Boise
83278,44.36917,-114.85619,Stanley,ID,Idaho,TRUE,,372,0.1,16037,Custer,"{""16037"": 100}",Custer,16037,FALSE,FALSE,America/Boise
83281,42.31044,-111.95953,Swanlake,ID,Idaho,TRUE,,81,0.8,16005,Bannock,"{""16005"": 100}",Bannock,16005,FALSE,FALSE,America/Boise
83283,42.35709,-111.66445,Thatcher,ID,Idaho,TRUE,,206,1.4,16041,Franklin,"{""16041"": 100}",Franklin,16041,FALSE,FALSE,America/Boise
83285,43.061,-111.37199,Wayan,ID,Idaho,TRUE,,31,0.1,16019,Bonneville,"{""16019"": 68.44, ""16029"": 31.56}",Bonneville|Caribou,16019|16029,FALSE,FALSE,America/Boise
83286,42.0533,-112.0148,Weston,ID,Idaho,TRUE,,1451,7.7,16041,Franklin,"{""16041"": 100}",Franklin,16041,FALSE,FALSE,America/Boise
